Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,16.0,1986 - 2001,PF,1431,40671,4999,10160,49.202755905511815,136,537,25.32588454376164,4863,9623,50.53517614049673,49.87204724409449,3512,4782,73.44207444583856,3744,6813,10557,1530,1133,592,1580,2776,13646
A.J. Bramlett,1.0,2000 - 2000,C,8,61,4,21,19.047619047619047,0,0,,4,21,19.047619047619047,19.047619047619047,0,0,,12,10,22,0,1,0,3,13,8
A.J. English,2.0,1991 - 1992,SG,151,3108,617,1418,43.51198871650212,9,65,13.846153846153847,608,1353,44.93717664449372,43.829337094499294,259,333,77.77777777777779,140,175,315,320,57,24,203,287,1502
A.J. Guyton,3.0,2001 - 2003,PG,80,1246,166,440,37.72727272727273,73,193,37.82383419689119,93,247,37.65182186234818,46.02272727272727,37,45,82.22222222222221,22,58,80,147,20,12,62,58,442
A.J. Hammons,1.0,2017 - 2017,C,22,163,17,42,40.476190476190474,5,10,50.0,12,32,37.5,46.42857142857143,9,20,45.0,8,28,36,4,1,13,10,21,48
A.J. Price,6.0,2010 - 2015,PG,270,4016,563,1481,38.014854827819036,225,706,31.869688385269125,338,775,43.612903225806456,45.611073598919646,216,289,74.74048442906575,71,315,386,574,128,9,236,242,1567
A.J. Wynder,1.0,1991 - 1991,PG,6,39,3,12,25.0,0,1,0.0,3,11,27.27272727272727,25.0,6,8,75.0,1,2,3,8,1,0,4,1,12
Aaron Brooks,10.0,2008 - 2018,PG,685,14142,2384,5774,41.28853481122272,857,2330,36.78111587982833,1527,3444,44.33797909407666,48.709733287149284,970,1166,83.19039451114922,264,883,1147,1995,368,92,1048,1276,6595
Aaron Gordon,5.0,2015 - 2019,PF,341,9500,1605,3563,45.04630928992422,368,1146,32.11169284467714,1237,2417,51.179147703765,50.210496772382825,671,949,70.70600632244468,532,1580,2112,736,261,218,462,691,4249
Aaron Gray,7.0,2008 - 2014,C,326,3947,449,879,51.080773606370876,0,3,0.0,449,876,51.25570776255708,51.080773606370876,189,339,55.75221238938053,434,778,1212,209,96,89,271,691,1087
Aaron Harrison,3.0,2016 - 2018,SG,37,350,24,92,26.08695652173913,12,55,21.818181818181817,12,37,32.432432432432435,32.608695652173914,19,31,61.29032258064516,8,35,43,16,15,2,7,40,79
Aaron Holiday,1.0,2019 - 2019,PG,50,646,105,262,40.0763358778626,43,127,33.85826771653544,62,135,45.925925925925924,48.282442748091604,41,50,82.0,5,62,67,87,21,13,40,71,294
Aaron Jackson,1.0,2018 - 2018,PG,8,52,5,13,38.46153846153847,1,6,16.666666666666664,4,7,57.14285714285714,42.30769230769231,2,4,50.0,4,3,7,3,0,0,3,6,13
