Year,Team,Center,Forward,Forward,Guard,Guard
2019,1st,jokicni01,antetgi01,georgpa01,hardeja01,curryst01
2019,2nd,embiijo01,duranke01,leonaka01,lillada01,irvinky01
2019,3rd,goberru01,jamesle01,griffbl01,walkeke02,westbru01
2018,1st,davisan02,jamesle01,duranke01,lillada01,hardeja01
2018,2nd,embiijo01,antetgi01,aldrila01,westbru01,derozde01
2018,3rd,townska01,butleji01,georgpa01,curryst01,oladivi01
2017,1st,davisan02,jamesle01,leonaka01,hardeja01,westbru01
2017,2nd,goberru01,antetgi01,duranke01,curryst01,thomais02
2017,3rd,jordade01,greendr01,butleji01,walljo01,derozde01
2016,1st,jordade01,jamesle01,leonaka01,curryst01,westbru01
2016,2nd,couside01,duranke01,greendr01,paulch01,lillada01
2016,3rd,drumman01,georgpa01,aldrila01,thompkl01,lowryky01
2015,1st,gasolma01,jamesle01,davisan02,curryst01,hardeja01
2015,2nd,couside01,gasolpa01,aldrila01,westbru01,paulch01
2015,3rd,jordade01,griffbl01,duncati01,thompkl01,irvinky01
2014,1st,noahjo01,duranke01,jamesle01,hardeja01,paulch01
2014,2nd,howardw01,griffbl01,loveke01,curryst01,parketo01
2014,3rd,jeffeal01,georgpa01,aldrila01,dragigo01,lillada01
2013,1st,duncati01,duranke01,jamesle01,bryanko01,paulch01
2013,2nd,gasolma01,anthoca01,griffbl01,parketo01,westbru01
2013,3rd,howardw01,georgpa01,leeda02,hardeja01,wadedw01
2012,1st,howardw01,duranke01,jamesle01,bryanko01,paulch01
2012,2nd,bynuman01,griffbl01,loveke01,parketo01,westbru01
2012,3rd,chandty01,anthoca01,nowitdi01,rondora01,wadedw01
2011,1st,howardw01,duranke01,jamesle01,bryanko01,rosede01
2011,2nd,stoudam01,gasolpa01,nowitdi01,wadedw01,westbru01
2011,3rd,horfoal01,aldrila01,randoza01,ginobma01,paulch01
2010,1st,howardw01,duranke01,jamesle01,bryanko01,wadedw01
2010,2nd,stoudam01,anthoca01,nowitdi01,nashst01,willide01
2010,3rd,bogutan01,duncati01,gasolpa01,johnsjo02,roybr01
2009,1st,howardw01,jamesle01,nowitdi01,bryanko01,wadedw01
2009,2nd,mingya01,duncati01,piercpa01,paulch01,roybr01
2009,3rd,onealsh01,anthoca01,gasolpa01,billuch01,parketo01
2008,1st,howardw01,garneke01,jamesle01,bryanko01,paulch01
2008,2nd,stoudam01,duncati01,nowitdi01,nashst01,willide01
2008,3rd,mingya01,boozeca01,piercpa01,ginobma01,mcgratr01
2007,1st,stoudam01,duncati01,nowitdi01,bryanko01,nashst01
2007,2nd,mingya01,boshch01,jamesle01,arenagi01,mcgratr01
