Rk,ID,Tot,D 1st,D 2nd
1,duncati01,15,8,7
2,bryanko01,12,9,3
3,garneke01,12,9,3
4,abdulka01,11,5,6
5,jonesbo01,11,8,1
6,pippesc01,10,8,2
7,johnsde01,9,6,3
8,jordami01,9,9,0
9,kiddja01,9,4,5
10,olajuha01,9,5,4
11,paulch01,9,7,2
12,paytoga01,9,9,0
13,bowenbr01,8,5,3
14,coopemi01,8,5,3
15,havlijo01,8,5,3
16,robinda01,8,4,4
17,rodmade01,8,7,1
18,vanlino01,8,3,5
19,fraziwa01,7,7,0
20,allento01,6,3,3
21,blaylmo01,6,2,4
22,busedo01,6,4,0
23,debusda01,6,6,0
24,jamesle01,6,5,1
25,mchalke01,6,3,3
26,mutomdi01,6,3,3
27,roberal01,6,2,4
28,sloanje01,6,4,2
29,wallabe01,6,5,1
30,chanedo01,5,0,5
31,cheekma01,5,4,1
32,dumarjo01,5,4,1
33,eatonma01,5,3,2
34,gilmoar01,5,0,1
35,greendr01,5,3,2
36,howardw01,5,4,1
37,leonaka01,5,3,2
38,moncrsi01,5,4,1
39,roundda01,5,3,2
40,silaspa01,5,2,3
41,stockjo01,5,0,5
42,thurmna01,5,2,3
43,westje01,5,4,1
44,bucknqu01,4,0,4
45,butleji01,4,0,4
46,cambyma01,4,2,2
47,chrisdo01,4,1,3
48,georgpa01,4,2,2
49,grantho01,4,0,4
50,malonka01,4,3,1
51,princta01,4,0,4
52,rondora01,4,2,2
53,willibu01,4,2,2
54,artesro01,4,2,2
55,birdla01,3,0,3
56,brownpj01,3,0,3
57,chandty01,3,1,2
58,cowenda01,3,1,2
59,davisan02,3,1,2
60,dunntr01,3,0,3
61,ewingpa01,3,0,3
62,goberru01,3,3,0
63,ibakase01,3,3,0
64,jonesed02,3,0,3
65,kirilan01,3,1,2
66,lovebo01,3,0,3
67,nancela01,3,1,2
68,noahjo01,3,2,1
69,onealsh01,3,0,3
70,presspa01,3,2,1
71,taylobr01,3,0,1
72,wadedw01,3,0,3
73,antetgi01,2,1,1
74,battish01,2,0,2
75,bellra01,2,1,1
76,beverpa01,2,1,1
77,billuch01,2,0,2
78,bradlav01,2,1,1
79,breweji01,2,0,2
80,bridgbi01,2,0,2
81,caldwjo01,2,0,1
82,chambwi01,2,2,0
83,colemec01,2,1,1
84,embiijo01,2,0,2
85,galemi01,2,0,0
86,harpede01,2,0,2
87,hayesel01,2,0,2
88,holidjr01,2,1,1
89,hollili01,2,1,1
90,iguodan01,2,1,1
91,johnsed02,2,0,2
92,johnsgu01,2,2,0
93,jonesca01,2,2,0
94,jordade01,2,2,0
95,keyeju01,2,0,0
96,lucasma01,2,1,1
97,majerda01,2,0,2
98,malonmo01,2,1,1
99,mccraro01,2,1,1
100,mckeyde01,2,0,2
101,mcmilna01,2,0,2
102,mournal01,2,2,0
103,oaklech01,2,1,1
104,ratlith01,2,0,2
105,richami01,2,2,0
106,robincl02,2,0,2
107,rollitr01,2,1,1
108,taylofa01,2,0,0
109,waltobi01,2,2,0
110,washike01,2,0,2
111,wilkeja01,2,0,2
112,wisewi01,2,0,0
113,bledser01,1,1,0
114,bogutan01,1,0,1
115,bolma01,1,0,1
116,bradldu01,1,0,1
117,carrml01,1,0,1
118,cleamji01,1,0,1
119,conlemi01,1,0,1
120,covinro01,1,1,0
121,dandrbo01,1,1,0
122,denglu01,1,0,1
123,ervinju01,1,0,0
124,gasolma01,1,0,1
125,greenac01,1,0,1
126,greenda02,1,0,1
127,grossbo01,1,0,1
128,hanzlbi01,1,0,1
129,hibbero01,1,0,1
130,hinriki01,1,0,1
131,horfoal01,1,0,1
132,hughela01,1,1,0
133,johnsge02,1,0,1
134,joneswi02,1,0,0
135,larusru01,1,0,1
136,leverfa01,1,0,1
137,mahorri01,1,0,1
138,masonan01,1,0,1
139,mcclate01,1,0,0
140,millspa01,1,0,1
141,murrade01,1,0,1
142,oladivi01,1,1,0
143,phillbo01,1,0,1
144,priceji01,1,0,1
145,reedwi01,1,1,0
146,riordmi01,1,0,1
147,roberan03,1,0,1
148,russebi01,1,1,0
149,sandeto01,1,0,1
150,sefolth01,1,0,1
151,sheltlo01,1,0,1
152,sikmaja01,1,0,1
153,smartma01,1,1,0
154,smithjo03,1,0,1
155,smithph01,1,0,1
156,snower01,1,0,1
157,sprewla01,1,0,1
158,starkjo01,1,0,1
159,thompkl01,1,0,1
160,vanardi01,1,0,1
161,varejan01,1,0,1
162,vraneda01,1,0,1
163,walljo01,1,0,1
164,wallage01,1,1,0
165,wattssl01,1,1,0
166,wedmasc01,1,0,1
167,whiteha01,1,0,1
168,willimi02,1,0,1
