ID,Total
abdulka01,19
bryanko01,18
ervinju01,16
duncati01,15
garneke01,15
jamesle01,15
onealsh01,15
jordami01,14
malonka01,14
nowitdi01,14
westje01,14
chambwi01,13
cousybo01,13
havlijo01,13
malonmo01,13
wadedw01,13
barryri01,12
birdla01,12
gervige01,12
hayesel01,12
johnsma02,12
olajuha01,12
roberos01,12
russebi01,12
schaydo01,12
thomais01,12
barklch01,11
bayloel01,11
boshch01,11
ewingpa01,11
gilmoar01,11
iversal01,11
pettibo01,11
allenra02,10
anthoca01,10
arizipa01,10
drexlcl01,10
duranke01,10
greerha01,10
kiddja01,10
piercpa01,10
robinda01,10
stockjo01,10
parisro01,9
paulch01,9
paytoga01,9
wilkele01,9
wilkido01,9
cartevi01,8
cowenda01,8
debusda01,8
englial01,8
foustla01,8
howardw01,8
laniebo01,8
mingya01,8
mutomdi01,8
nashst01,8
sharmbi01,8
westbru01,8
aldrila01,7
bingda01,7
dampilo01,7
danieme01,7
fraziwa01,7
gallaha01,7
hardeja01,7
hillgr01,7
isselda01,7
johnsjo02,7
lucasje01,7
macaued01,7
martisl01,7
mcgratr01,7
mcguidi01,7
mchalke01,7
mournal01,7
pippesc01,7
reedwi01,7
sikmaja01,7
thurmna01,7
walkech01,7
whitejo01,7
worthja01,7
architi01,6
costela01,6
curryst01,6
dantlad01,6
davisan02,6
daviswa03,6
dumarjo01,6
gasolpa01,6
georgpa01,6
griffbl01,6
gueriri01,6
hagancl01,6
heinsto01,6
howelba01,6
hudsolo01,6
irvinky01,6
johnsne01,6
jonesji01,6
kempsh01,6
mcginge01,6
mikkeve01,6
onealje01,6
parketo01,6
richmmi01,6
stoudam01,6
twymaja01,6
yardlge01,6
beatyze01,5
billuch01,5
braunca01,5
calvima01,5
cunnibi01,5
daughbr01,5
embrywa01,5
freemdo01,5
golato01,5
goodrga01,5
hardati01,5
hawkico01,5
haywosp01,5
horfoal01,5
johnsde01,5
johnsgu01,5
johnsma01,5
jonesbo01,5
jonessa01,5
kenonla01,5
larusru01,5
loveke01,5
lowryky01,5
lucasma01,5
maravpe01,5
mcadobo01,5
millere01,5
moncrsi01,5
mullich01,5
ohldo01,5
phillan01,5
scottch01,5
shuege01,5
simpsra01,5
thompda01,5
thompkl01,5
tomjaru01,5
unselwe01,5
walljo01,5
wanzebo01,5
webbech01,5
westppa01,5
bakervi01,4
bellawa01,4
birdsot01,4
blackro01,4
boonero01,4
brownro01,4
butleji01,4
caldwjo01,4
chambto01,4
cheekma01,4
collido01,4
couside01,4
dandrbo01,4
daviebo01,4
derozde01,4
garmadi01,4
greenjo01,4
hardaan01,4
hutchme01,4
jabalwa01,4
jonesla01,4
kingbe01,4
laimbbi01,4
lewisfr02,4
lillada01,4
lovelcl01,4
mariosh01,4
mikange01,4
millspa01,4
monroea01,4
naullwi01,4
netolbo01,4
pollaji01,4
pricema01,4
richami01,4
risenar01,4
roberal01,4
rodgegu01,4
rondora01,4
sampsra01,4
sprewla01,4
wallabe01,4
wallara01,4
wickssi01,4
aguirma01,3
antetgi01,3
arenagi01,3
beasljo01,3
bridgbi01,3
brownla01,3
carrida01,3
cheniph01,3
combsgl01,3
dischte01,3
francst01,3
gasolma01,3
greendr01,3
hamilri01,3
johnske02,3
johnsst01,3
jonesed02,3
jonesst01,3
kauffbo01,3
kerrre01,3
leonaka01,3
lovebo01,3
majerda01,3
melchbi01,3
moedo01,3
mullije01,3
nancela01,3
paultbi01,3
ricegl01,3
robbire01,3
rosede01,3
roundda01,3
roybr01,3
schrede01,3
seymopa01,3
stojape01,3
stokema01,3
thompge01,3
vanardi01,3
vanarto01,3
vanlino01,3
walkean02,3
walkeke02,3
wilkeja01,3
willibu01,3
willide01,3
wisewi01,3
barnema01,2
barnhle01,2
bealbr01,2
beckby01,2
beckear01,2
boozeca01,2
brandel01,2
brandte01,2
brianfr01,2
briskjo01,2
busedo01,2
butleca01,2
clarkar01,2
cummite01,2
davisba01,2
denglu01,2
drewjo01,2
drumman01,2
duckwke01,2
dukeswa01,2
eddledi01,2
elliose01,2
embiijo01,2
finlemi01,2
fulksjo01,2
georgja01,2
ginobma01,2
hibbero01,2
houstal01,2
hundlho01,2
huntele01,2
ilgauzy01,2
jamisan01,2
johnsed02,2
johnsjo01,2
johnsla02,2
jonesri01,2
knighbi01,2
kojisdo01,2
ladnewe01,2
leeda02,2
leverfa01,2
lewisra02,2
malonje01,2
mannida01,2
marbust01,2
marinja01,2
millebr01,2
natersw01,2
nixonno01,2
noahjo01,2
oladivi01,2
paxsoji02,2
petrige01,2
portete01,2
powelci01,2
randoza01,2
robingl01,2
robintr01,2
rochare01,2
rodmade01,2
rulanje01,2
scolafr01,2
searske01,2
selvyfr01,2
silasja01,2
silaspa01,2
sloanje01,2
smithph01,2
smithra01,2
stackje01,2
tartle01,2
taylobr01,2
theusre01,2
thomais02,2
toneyan01,2
townska01,2
tripuke01,2
vandeki01,2
walkeji01,2
waltobi01,2
wedmasc01,2
westda01,2
willich01,2
willich02,2
willigu01,2
wintebr01,2
abdursh01,1
adamsal01,1
adamsmi01,1
aingeda01,1
anderke01,1
armstbj01,1
barksdo01,1
barnedi01,1
barroda01,1
beardbu01,1
beardra01,1
blaylmo01,1
blockjo01,1
boozebo01,1
borylvi01,1
bradlbi01,1
brownfr01,1
brownro02,1
buncela01,1
bynuman01,1
carrau01,1
carrojo01,1
cartege01,1
cartwbi01,1
cassesa01,1
cebalce01,1
chandty01,1
chapple01,1
cliftna01,1
colemde01,1
colemja01,1
davisan01,1
davisda01,1
davisle01,1
daviswa02,1
divacvl01,1
donalja01,1
dragigo01,1
eakinji01,1
eatonma01,1
ellisda01,1
felixra01,1
floydsl01,1
fosteja01,1
freewo01,1
gaborbi01,1
gatlich01,1
gerargu01,1
govange01,1
grangda01,1
grantho01,1
greenac01,1
greenmi01,1
greenri01,1
grozaal01,1
guglito01,1
harride01,1
harribo02,1
hawkihe01,1
haywago01,1
abdulma01,1
hightwa01,1
hillty01,1
holidjr01,1
hollili01,1
hornaje01,1
howarjo01,1
howarju01,1
iguodan01,1
imhofda01,1
jackslu01,1
jacksma01,1
jacksme01,1
jacksto01,1
johnsne02,1
johnsst03,1
jokicni01,1
jonesca01,1
joneswi02,1
jordade01,1
kamanch01,1
keyeju01,1
kingji01,1
kirilan01,1
korveky01,1
laceysa01,1
laettch01,1
leecl01,1
lewismi01,1
lewisre01,1
ligongo01,1
lopezbr01,1
magloja01,1
mahafra01,1
martike01,1
mashbja01,1
masonan01,1
mcclate01,1
mcdanxa01,1
mcdanji01,1
mcdyean01,1
mcglojo01,1
menyade01,1
meschto01,1
middlkh01,1
milesed01,1
mitchmi01,1
mixst01,1
molinja01,1
moorege01,1
murphca01,1
nattca01,1
nelsoja01,1
noblech01,1
oaklech01,1
okurme01,1
piercri01,1
porzikr01,1
priceji01,1
ratlith01,1
reddmi01,1
reganri01,1
riverdo01,1
robincl02,1
robinfl01,1
rowecu01,1
rulebo01,1
russeca02,1
russeca01,1
russeda01,1
sauldwo01,1
schaufr01,1
shaffle01,1
sheltlo01,1
simmobe01,1
simonwa01,1
smithad01,1
smithst01,1
smitsri01,1
somerwi01,1
starkjo01,1
sundedo01,1
szczewa02,1
teaguje01,1
terrycl01,1
thoresk01,1
thorpot01,1
towemo01,1
twardda01,1
vanexni01,1
vaughch01,1
vergabo01,1
vucevni01,1
wallage01,1
walthpa01,1
warlebe01,1
washike01,1
washitr01,1
willija01,1
willima01,1
willike02,1
artesro01,1
zasloma01,1
