Season,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player,Rookie
2018,hardeja01,duranke01,duranke01,oladivi01,willilo02,goberru01,simmobe01
2017,westbru01,duranke01,jamesle01,antetgi01,gordoer01,greendr01,brogdma01
2016,curryst01,jamesle01,davisan02,mccolcj01,crawfja01,leonaka01,townska01
2015,curryst01,iguodan01,westbru01,butleji01,willilo02,leonaka01,wiggian01
2014,duranke01,leonaka01,westbru01,dragigo01,crawfja01,noahjo01,cartemi01
2013,jamesle01,jamesle01,irvinky01,georgpa01,smithjr01,gasolma01,lillada01
2012,jamesle01,jamesle01,paulch01,anderry01,hardeja01,chandty01,irvinky01
2011,rosede01,nowitdi01,duranke01,loveke01,odomla01,howardw01,griffbl01
2010,jamesle01,bryanko01,bryanko01,brookaa01,crawfja01,howardw01,evansty01
2009,jamesle01,bryanko01,wadedw01,grangda01,terryja01,howardw01,rosede01
2008,bryanko01,piercpa01,onealsh01,turkohe01,ginobma01,garneke01,duranke01
2007,nowitdi01,parketo01,bryanko01,ellismo01,barbole01,cambyma01,roybr01
2006,nashst01,wadedw01,jamesle01,diawbo01,millemi01,wallabe01,paulch01
2005,nashst01,duncati01,bryanko01,simmobo01,gordobe01,wallabe01,okafoem01
2004,garneke01,billuch01,jamesle01,randoza01,jamisan01,artesro01,jamesle01
2003,duncati01,duncati01,iversal01,arenagi01,jacksbo01,wallabe01,stoudam01
2002,duncati01,onealsh01,onealsh01,onealje01,willico02,wallabe01,gasolpa01
2001,iversal01,onealsh01,garneke01,mcgratr01,mckieaa01,mutomdi01,millemi01
2000,onealsh01,onealsh01,bryanko01,roseja01,rogerro01,mournal01,francst01
1999,malonka01,duncati01,iversal01,armstda01,armstda01,mournal01,brandel01
1998,jordami01,jordami01,onealsh01,hendeal01,mannida01,mutomdi01,cartevi01
1997,malonka01,jordami01,duncati01,austiis01,starkjo01,mutomdi01,duncati01
1996,jordami01,jordami01,jordami01,muresgh01,kukocto01,paytoga01,iversal01
1995,robinda01,olajuha01,ricegl01,barroda01,masonan01,mutomdi01,stoudda01
1994,olajuha01,olajuha01,jordami01,macledo01,curryde01,olajuha01,kiddja01
1993,barklch01,jordami01,richmmi01,abdulma02,robincl02,olajuha01,hillgr01
1992,jordami01,jordami01,pippesc01,ellispe01,schrede01,robinda01,webbech01
1991,jordami01,jordami01,stockjo01,skilesc01,schrede01,rodmade01,onealsh01
1990,johnsma02,thomais01,malonka01,seikaro01,piercri01,rodmade01,johnsla02
1989,johnsma02,dumarjo01,johnsma02,johnske02,johnsed03,eatonma01,colemde01
1988,jordami01,worthja01,barklch01,duckwke01,tarplro01,jordami01,robinda01
1987,johnsma02,johnsma02,johnsma02,ellisda01,piercri01,coopemi01,richmmi01
1986,birdla01,birdla01,malonka01,roberal01,waltobi01,roberal01,jacksma01
1985,birdla01,abdulka01,jordami01,abdulma02,mchalke01,eatonma01,persoch01
1984,birdla01,birdla01,chambto01,anderry01,mchalke01,moncrsi01,ewingpa01
1983,malonmo01,malonmo01,thomais01,antetgi01,jonesbo01,moncrsi01,jordami01
1982,malonmo01,johnsma02,sampsra01,arenagi01,crawfja01,mutomdi01,sampsra01
1981,ervinju01,maxwece01,thomais01,armstda01,mchalke01,wallabe01,cummite01
