ID,Player,Years,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
greenac01,A.C. Green,16.0,PF,1431,941.0,28.421,3.493,7.1,49.19718309859155,0.095,0.375,25.333333333333336,3.398,6.725,50.5278810408922,49.86619718309859,2.454,3.342,73.42908438061042,2.616,4.761,7.377,1.069,0.792,0.414,1.104,1.94,9.536,11.65
bramlaj01,A.J. Bramlett,1.0,C,8,0.0,7.625,0.5,2.625,19.047619047619047,0.0,0.0,,0.5,2.625,19.047619047619047,19.047619047619047,0.0,0.0,,1.5,1.25,2.75,0.0,0.125,0.0,0.375,1.625,1.0,-0.25
engliaj01,A.J. English,2.0,SG,151,18.0,20.583,4.086,9.391,43.509743371312965,0.06,0.43,13.953488372093023,4.026,8.96,44.93303571428571,43.82919816845917,1.715,2.205,77.77777777777779,0.927,1.159,2.086,2.119,0.377,0.159,1.344,1.901,9.947,5.649
guytoaj01,A.J. Guyton,3.0,PG,80,14.0,15.575,2.075,5.5,37.727272727272734,0.912,2.412,37.81094527363184,1.162,3.088,37.629533678756474,46.018181818181816,0.462,0.562,82.20640569395017,0.275,0.725,1.0,1.838,0.25,0.15,0.775,0.725,5.525,3.738
hammoaj01,A.J. Hammons,1.0,C,22,0.0,7.409,0.773,1.909,40.49240440020954,0.227,0.455,49.89010989010989,0.545,1.455,37.45704467353952,46.437925615505506,0.409,0.909,44.99449944994499,0.364,1.273,1.636,0.182,0.045,0.591,0.455,0.955,2.182,1.591
priceaj01,A.J. Price,6.0,PG,270,25.0,14.874,2.085,5.485,38.012762078395625,0.833,2.615,31.854684512428292,1.252,2.87,43.62369337979094,45.606198723792154,0.8,1.07,74.76635514018692,0.263,1.167,1.43,2.126,0.474,0.033,0.874,0.896,5.804,4.426
wyndeaj01,A.J. Wynder,1.0,PG,6,0.0,6.5,0.5,2.0,25.0,0.0,0.167,0.0,0.5,1.833,27.277686852154936,25.0,1.0,1.333,75.01875468867217,0.167,0.333,0.5,1.333,0.167,0.0,0.667,0.167,2.0,1.333
brookaa01,Aaron Brooks,10.0,PG,685,196.0,20.645,3.48,8.429,41.28603630323882,1.251,3.401,36.78329902969715,2.229,5.028,44.331742243436764,48.70684541463993,1.416,1.702,83.19623971797884,0.385,1.289,1.674,2.912,0.537,0.134,1.53,1.863,9.628,6.258
gordoaa01,Aaron Gordon,5.0,PF,341,252.0,27.859,4.707,10.449,45.0473729543497,1.079,3.361,32.103540612912816,3.628,7.088,51.18510158013544,50.21054646377644,1.968,2.783,70.71505569529285,1.56,4.633,6.194,2.158,0.765,0.639,1.355,2.026,12.46,12.279
grayaa01,Aaron Gray,7.0,C,326,87.0,12.107,1.377,2.696,51.07566765578635,0.0,0.009,0.0,1.377,2.687,51.24674358020097,51.07566765578635,0.58,1.04,55.76923076923076,1.331,2.387,3.718,0.641,0.294,0.273,0.831,2.12,3.334,3.531
harriaa01,Aaron Harrison,3.0,SG,37,3.0,9.459,0.649,2.486,26.106194690265482,0.324,1.486,21.803499327052492,0.324,1.0,32.4,32.62268704746581,0.514,0.838,61.3365155131265,0.216,0.946,1.162,0.432,0.405,0.054,0.189,1.081,2.135,0.757
holidaa01,Aaron Holiday,1.0,PG,50,0.0,12.92,2.1,5.24,40.0763358778626,0.86,2.54,33.85826771653544,1.24,2.7,45.92592592592592,48.28244274809161,0.82,1.0,82.0,0.1,1.24,1.34,1.74,0.42,0.26,0.8,1.42,5.88,4.1
jacksaa01,Aaron Jackson,1.0,PG,8,0.0,6.5,0.625,1.625,38.46153846153847,0.125,0.75,16.666666666666664,0.5,0.875,57.14285714285714,42.30769230769231,0.25,0.5,50.0,0.5,0.375,0.875,0.375,0.0,0.0,0.375,0.75,1.625,0.5
mckieaa01,Aaron McKie,13.0,SG,868,313.0,24.533,2.919,6.673,43.74344372845796,0.51,1.442,35.367545076282944,2.409,5.23,46.061185468451235,47.56481342724412,1.233,1.578,78.13688212927758,0.607,2.688,3.295,2.722,1.144,0.202,1.336,2.05,7.582,7.46
milesaa01,Aaron Miles,1.0,PG,19,0.0,6.211,0.316,0.947,33.368532206969384,0.0,0.0,,0.316,0.947,33.368532206969384,33.368532206969384,0.211,0.211,100.0,0.0,0.737,0.737,1.263,0.211,0.053,0.579,0.684,0.842,1.211
swinsaa01,Aaron Swinson,1.0,SF,9,0.0,5.667,1.111,2.0,55.55,0.0,0.0,,1.111,2.0,55.55,55.55,0.444,0.556,79.85611510791367,0.333,0.556,0.889,0.333,0.111,0.0,0.556,0.889,2.667,1.556
williaa01,Aaron Williams,14.0,PF,768,78.0,16.812,2.195,4.464,49.17114695340501,0.001,0.022,4.545454545454546,2.194,4.441,49.40328754784959,49.18234767025089,1.359,1.832,74.18122270742357,1.408,2.46,3.867,0.681,0.385,0.755,0.931,2.504,5.751,5.264
naderab01,Abdel Nader,2.0,SF,120,2.0,10.408,1.217,3.158,38.53704876504117,0.458,1.408,32.52840909090909,0.758,1.75,43.31428571428572,45.78847371754276,0.433,0.658,65.80547112462006,0.233,1.35,1.583,0.408,0.3,0.192,0.517,0.958,3.325,2.167
jeelaab01,Abdul Jeelani,2.0,SF,143,0.0,16.741,3.322,7.028,47.268070574843485,0.0,0.049,0.0,3.322,6.979,47.59994268519846,47.268070574843485,2.378,2.965,80.20236087689713,1.378,2.119,3.497,1.119,0.587,0.497,1.427,1.944,9.021,7.056
earlac01,Acie Earl,4.0,C,194,18.0,13.0,1.866,4.634,40.26758739749676,0.0,0.046,0.0,1.866,4.588,40.671316477768094,40.26758739749676,1.33,2.005,66.3341645885287,0.985,1.691,2.675,0.314,0.325,0.655,0.876,1.83,5.062,2.881
lawac01,Acie Law,4.0,PG,201,8.0,12.308,1.353,3.254,41.579594345421015,0.139,0.587,23.67972742759796,1.214,2.667,45.51931008623922,43.715427166564226,0.905,1.154,78.42287694974004,0.169,0.821,0.99,1.607,0.423,0.02,0.766,1.0,3.751,2.876
harriad01,Adam Harrington,1.0,SG,19,0.0,5.842,0.579,1.947,29.73805855161787,0.263,0.737,35.68521031207599,0.316,1.211,26.094137076796038,36.49203903441191,0.158,0.211,74.88151658767774,0.053,0.368,0.421,0.632,0.105,0.053,0.105,0.421,1.579,0.842
keefead01,Adam Keefe,9.0,PF,681,108.0,16.167,1.752,3.471,50.475367329299914,0.003,0.023,13.043478260869565,1.749,3.448,50.725058004640374,50.51858254105445,1.335,1.878,71.08626198083068,1.536,2.438,3.974,0.655,0.48,0.267,0.841,1.758,4.841,5.355
morriad01,Adam Morrison,3.0,SF,163,28.0,20.19,2.89,7.736,37.357807652533616,0.761,2.313,32.9009943795936,2.129,5.423,39.25871288954453,42.276370217166495,0.871,1.227,70.98614506927466,0.515,1.613,2.129,1.368,0.245,0.074,1.055,1.687,7.411,3.282
foylead01,Adonal Foyle,12.0,C,741,269.0,17.653,1.781,3.74,47.62032085561497,0.0,0.003,0.0,1.781,3.737,47.65854963874766,47.62032085561497,0.476,0.954,49.895178197064986,1.756,2.923,4.679,0.464,0.356,1.61,0.81,2.128,4.039,5.775
jordaad01,Adonis Jordan,2.0,PG,10,0.0,9.7,0.8,2.7,29.629629629629626,0.3,1.2,25.0,0.5,1.5,33.33333333333333,35.18518518518518,0.2,0.4,50.0,0.3,0.3,0.6,2.2,0.3,0.1,0.8,0.6,2.1,1.8
thomaad01,Adonis Thomas,1.0,SF,6,1.0,6.167,1.0,2.333,42.86326618088298,0.167,0.833,20.048019207683076,0.833,1.5,55.53333333333333,46.4423489069867,0.167,0.167,100.0,0.0,0.5,0.5,0.5,0.0,0.0,0.167,1.0,2.333,0.833
paynead01,Adreian Payne,4.0,PF,107,24.0,13.112,1.626,4.009,40.558742828635566,0.14,0.551,25.40834845735027,1.486,3.458,42.97281665702718,42.30481416812172,0.617,0.907,68.02646085997795,0.738,2.206,2.944,0.617,0.421,0.252,0.841,1.897,4.009,2.832
brancad01,Adrian Branch,4.0,SF,142,7.0,10.394,2.359,5.289,44.60200415957648,0.063,0.282,22.340425531914896,2.296,5.007,45.855801877371675,45.19757988277557,1.204,1.641,73.36989640463132,0.824,1.035,1.859,0.725,0.599,0.12,0.915,1.43,5.986,3.577
caldwad01,Adrian Caldwell,6.0,PF,199,1.0,8.075,0.829,1.704,48.65023474178404,0.0,0.015,0.0,0.829,1.688,49.111374407582936,48.65023474178404,0.312,0.688,45.34883720930233,0.905,1.593,2.497,0.166,0.281,0.206,0.633,1.357,1.97,1.879
dantlad01,Adrian Dantley,12.0,SF,801,594.0,35.958,8.906,16.357,54.44763709726723,0.009,0.055,16.363636363636363,8.898,16.302,54.58225984541774,54.475148254569916,7.449,9.115,81.72243554580362,2.11,3.187,5.297,3.049,0.911,0.126,2.846,2.615,25.271,20.076
griffad01,Adrian Griffin,9.0,SG,525,190.0,16.436,1.636,3.707,44.132721877528994,0.097,0.352,27.556818181818183,1.539,3.354,45.8855098389982,45.441057458861614,0.594,0.779,76.25160462130937,1.067,2.09,3.156,1.33,0.882,0.118,0.68,1.84,3.964,4.674
harrial01,Al Harrington,16.0,PF,1036,452.0,28.121,4.996,11.307,44.185018130361726,0.974,2.779,35.04857862540482,4.022,8.528,47.16228893058162,48.492084549394185,2.197,3.04,72.26973684210527,1.51,4.006,5.515,1.627,0.87,0.257,1.832,3.116,13.163,9.331
horfoal01,Al Horford,12.0,C,897,892.0,33.037,5.915,11.301,52.340500840633574,0.469,1.258,37.28139904610492,5.446,10.043,54.22682465398785,54.41553844792496,1.769,2.336,75.7277397260274,2.135,6.217,8.352,3.264,0.81,1.207,1.609,2.319,14.069,17.824
