Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
1,SAC,Pervis Ellison,University of Louisville,11,474,11593,4494,3170,691,.510,.050,.689,24.5,9.5,6.7,1.5,21.8,.090,0.5,7.4,1989
2,LAC,Danny Ferry,Duke University,13,917,18133,6439,2550,1185,.446,.393,.840,19.8,7.0,2.8,1.3,34.8,.092,-0.9,5.0,1989
3,SAS,Sean Elliott,University of Arizona,12,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.6,16.1,1989
4,MIA,Glen Rice,University of Michigan,15,1000,34985,18336,4387,2097,.456,.400,.846,35.0,18.3,4.4,2.1,88.7,.122,0.5,22.1,1989
5,CHH,J.R. Reid,University of North Carolina,11,672,15370,5680,3381,639,.472,.135,.716,22.9,8.5,5.0,1.0,22.5,.070,-2.0,-0.2,1989
6,CHI,Stacey King,University of Oklahoma,8,438,7406,2819,1460,387,.478,.235,.707,16.9,6.4,3.3,0.9,10.9,.071,-3.0,-1.9,1989
7,IND,George McCloud,Florida State University,12,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.7,5.6,1989
8,DAL,Randy White,Louisiana Tech University,5,281,5382,2083,1366,175,.401,.193,.707,19.2,7.4,4.9,0.6,1.9,.017,-4.4,-3.3,1989
9,WSB,Tom Hammonds,Georgia Institute of Technology,12,687,10419,3617,2243,378,.480,.000,.691,15.2,5.3,3.3,0.6,14.7,.068,-4.3,-6.0,1989
10,MIN,Pooh Richardson,"University of California, Los Angeles",10,639,19399,7083,1807,4180,.444,.329,.652,30.4,11.1,2.8,6.5,26.7,.066,-0.9,5.5,1989
11,ORL,Nick Anderson,University of Illinois at Urbana-Champaign,13,800,24922,11529,4064,2087,.446,.356,.667,31.2,14.4,5.1,2.6,55.3,.106,1.7,23.5,1989
12,NJN,Mookie Blaylock,University of Oklahoma,13,889,31026,11962,3659,5972,.409,.336,.736,34.9,13.5,4.1,6.7,71.8,.111,3.0,38.9,1989
13,BOS,Michael Smith,Brigham Young University,3,141,1328,698,212,142,.474,.150,.835,9.4,5.0,1.5,1.0,1.4,.049,-4.1,-0.7,1989
14,GSW,Tim Hardaway,University of Texas at El Paso,13,867,30626,15373,2855,7095,.431,.355,.782,35.3,17.7,3.3,8.2,85.0,.133,2.5,34.6,1989
15,DEN,Todd Lichti,Stanford University,5,237,4240,1870,505,325,.460,.244,.789,17.9,7.9,2.1,1.4,5.6,.063,-2.7,-0.8,1989
16,SEA,Dana Barros,Boston College,14,850,19480,8901,1609,2837,.460,.411,.858,22.9,10.5,1.9,3.3,49.6,.122,0.2,10.6,1989
17,SEA,Shawn Kemp,Trinity Valley Community College,14,1051,29293,15347,8834,1704,.488,.277,.741,27.9,14.6,8.4,1.6,89.5,.147,1.7,27.3,1989
18,CHI,B.J. Armstrong,University of Iowa,11,747,17790,7320,1321,2479,.477,.425,.856,23.8,9.8,1.8,3.3,45.0,.121,-1.6,1.9,1989
19,PHI,Kenny Payne,University of Louisville,4,144,1167,508,170,61,.410,.293,.859,8.1,3.5,1.2,0.4,-0.1,-.005,-6.6,-1.3,1989
20,CHI,Jeff Sanders,Georgia Southern University,4,55,462,112,103,25,.395,,.609,8.4,2.0,1.9,0.5,-0.1,-.008,-5.2,-0.4,1989
21,UTA,Blue Edwards,East Carolina University,10,704,18409,7585,2376,1409,.475,.335,.779,26.1,10.8,3.4,2.0,24.2,.063,-0.8,5.7,1989
22,POR,Byron Irvin,University of Missouri,3,87,849,451,123,73,.471,.350,.722,9.8,5.2,1.4,0.8,2.1,.121,-1.0,0.2,1989
23,ATL,Roy Marble,University of Iowa,2,29,194,55,32,12,.257,.000,.594,6.7,1.9,1.1,0.4,-0.5,-.122,-8.5,-0.3,1989
24,PHO,Anthony Cook,University of Arizona,4,116,1499,418,428,34,.439,.000,.524,12.9,3.6,3.7,0.3,1.0,.033,-4.2,-0.8,1989
25,CLE,John Morton,Seton Hall University,3,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013,-4.7,-1.3,1989
26,LAL,Vlade Divac,,16,1134,33838,13398,9326,3541,.495,.235,.692,29.8,11.8,8.2,3.1,96.4,.137,3.3,45.3,1989
27,DET,Kenny Battle,University of Illinois at Urbana-Champaign,4,134,1795,627,327,106,.504,.133,.725,13.4,4.7,2.4,0.8,3.7,.098,-0.1,0.9,1989
28,MIA,Sherman Douglas,Syracuse University,12,765,21148,8425,1672,4536,.484,.267,.678,27.6,11.0,2.2,5.9,32.9,.075,-1.5,2.6,1989
29,CHH,Dyron Nix,University of Tennessee,1,20,109,39,26,5,.359,,.688,5.5,2.0,1.3,0.3,0.0,-.015,-8.3,-0.2,1989
30,MIL,Frank Kornet,Vanderbilt University,2,89,595,171,95,30,.369,.263,.596,6.7,1.9,1.1,0.3,0.0,-.004,-6.0,-0.6,1989
31,LAC,Jeff Martin,Murray State University,2,143,2685,956,290,109,.417,.282,.694,18.8,6.7,2.0,0.8,2.1,.038,-3.8,-1.2,1989
32,NJN,Stanley Brundy,DePaul University,1,16,128,37,26,3,.500,,.389,8.0,2.3,1.6,0.2,0.2,.057,-2.5,0.0,1989
33,LAC,Jay Edwards,Indiana University,1,4,26,7,2,4,.429,.000,.333,6.5,1.8,0.5,1.0,0.0,.022,-5.1,0.0,1989
34,MIN,Gary Leonard,University of Missouri,3,31,149,44,34,2,.459,.000,.500,4.8,1.4,1.1,0.1,0.1,.029,-6.3,-0.2,1989
35,DAL,Pat Durham,Colorado State University,2,64,930,323,108,57,.469,.192,.667,14.5,5.0,1.7,0.9,0.7,.037,-2.8,-0.2,1989
36,POR,Clifford Robinson,University of Connecticut,18,1380,42561,19591,6306,3094,.438,.356,.689,30.8,14.2,4.6,2.2,89.7,.101,0.7,28.7,1989
37,ORL,Michael Ansley,University of Alabama,3,149,2143,1026,621,67,.513,,.722,14.4,6.9,4.2,0.4,6.4,.142,-1.1,0.5,1989
38,MIN,Doug West,Villanova University,12,676,16649,6477,1670,1292,.481,.191,.801,24.6,9.6,2.5,1.9,17.7,.051,-2.5,-2.2,1989
39,WSB,Ed Horton,University of Iowa,1,45,374,202,108,19,.494,.000,.609,8.3,4.5,2.4,0.4,0.4,.050,-4.1,-0.2,1989
40,BOS,Dino Radja,,4,224,7308,3733,1883,356,.497,.000,.735,32.6,16.7,8.4,1.6,14.3,.094,-0.7,2.3,1989
41,WSB,Doug Roth,University of Tennessee,1,42,412,81,120,20,.430,.000,.500,9.8,1.9,2.9,0.5,0.4,.052,-3.7,-0.2,1989
42,DEN,Michael Cutright,McNeese State University,,,,,,,,,,,,,,,,,,1989
43,CLE,Chucky Brown,North Carolina State University,13,694,11962,4125,2148,549,.491,.227,.699,17.2,5.9,3.1,0.8,19.0,.076,-3.0,-3.0,1989
44,PHI,Reggie Cross,University of Hawaii,,,,,,,,,,,,,,,,,,1989
45,MIA,Scott Haffner,University of Evansville,2,50,609,213,55,89,.403,.130,.667,12.2,4.3,1.1,1.8,-0.1,-.012,-6.6,-0.7,1989
46,PHO,Ricky Blanton,Louisiana State University,1,2,13,6,3,1,.429,,,6.5,3.0,1.5,0.5,0.0,.088,2.6,0.0,1989
47,DEN,Reggie Turner,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1989
48,UTA,Junie Lewis,University of South Alabama,,,,,,,,,,,,,,,,,,1989
