ID,Player,From,To,Ht(cm),Wt(kg),Birth Date,Colleges,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player,Rookie,All 1st,All 2nd,All 3rd,All Tot,All-Star,D Tot,D 1st,D 2nd,Total Awards
greenac01,A.C. Green,1986.0,2001.0,205.74,220.0,"October 4, 1963",Oregon State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
bramlaj01,A.J. Bramlett,2000.0,2000.0,208.28,227.0,"January 10, 1977",University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engliaj01,A.J. English,1991.0,1992.0,190.5,175.0,"July 11, 1967",Virginia Union University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guytoaj01,A.J. Guyton,2001.0,2003.0,185.42,180.0,"February 12, 1978",Indiana University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hammoaj01,A.J. Hammons,2017.0,2017.0,213.36,260.0,"August 27, 1992",Purdue University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
priceaj01,A.J. Price,2010.0,2015.0,187.96,181.0,"October 7, 1986",University of Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wyndeaj01,A.J. Wynder,1991.0,1991.0,187.96,180.0,"September 11, 1964","University of Massachusetts Amherst, Fairfield University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brookaa01,Aaron Brooks,2008.0,2018.0,182.88,161.0,"January 14, 1985",University of Oregon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gordoaa01,Aaron Gordon,2015.0,2019.0,205.74,220.0,"September 16, 1995",University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grayaa01,Aaron Gray,2008.0,2014.0,213.36,270.0,"December 7, 1984",University of Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harriaa01,Aaron Harrison,2016.0,2018.0,198.12,210.0,"October 28, 1994",University of Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holidaa01,Aaron Holiday,2019.0,2019.0,185.42,185.0,"September 30, 1996","University of California, Los Angeles",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacksaa01,Aaron Jackson,2018.0,2018.0,193.04,185.0,"May 6, 1986",Duquesne University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mckieaa01,Aaron McKie,1995.0,2007.0,195.58,209.0,"October 2, 1972",Temple University,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
milesaa01,Aaron Miles,2006.0,2006.0,185.42,175.0,"April 13, 1983",University of Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swinsaa01,Aaron Swinson,1995.0,1995.0,195.58,230.0,"January 9, 1971",Auburn University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
williaa01,Aaron Williams,1994.0,2008.0,205.74,220.0,"October 2, 1971",Xavier University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
