ID,Player,From,To,Ht(cm),Wt(kg),Birth Date,Colleges
greenac01,A.C. Green,1986,2001,205.74,220,"October 4, 1963",Oregon State University
bramlaj01,A.J. Bramlett,2000,2000,208.28,227,"January 10, 1977",University of Arizona
engliaj01,A.J. English,1991,1992,190.5,175,"July 11, 1967",Virginia Union University
guytoaj01,A.J. Guyton,2001,2003,185.42000000000002,180,"February 12, 1978",Indiana University
hammoaj01,A.J. Hammons,2017,2017,213.36,260,"August 27, 1992",Purdue University
priceaj01,A.J. Price,2010,2015,187.96,181,"October 7, 1986",University of Connecticut
wyndeaj01,A.J. Wynder,1991,1991,187.96,180,"September 11, 1964","University of Massachusetts Amherst, Fairfield University"
brookaa01,Aaron Brooks,2008,2018,182.88,161,"January 14, 1985",University of Oregon
gordoaa01,Aaron Gordon,2015,2019,205.74,220,"September 16, 1995",University of Arizona
grayaa01,Aaron Gray,2008,2014,213.36,270,"December 7, 1984",University of Pittsburgh
harriaa01,Aaron Harrison,2016,2018,198.12,210,"October 28, 1994",University of Kentucky
holidaa01,Aaron Holiday,2019,2019,185.42000000000002,185,"September 30, 1996","University of California, Los Angeles"
jacksaa01,Aaron Jackson,2018,2018,193.04,185,"May 6, 1986",Duquesne University
mckieaa01,Aaron McKie,1995,2007,195.58,209,"October 2, 1972",Temple University
milesaa01,Aaron Miles,2006,2006,185.42000000000002,175,"April 13, 1983",University of Kansas
swinsaa01,Aaron Swinson,1995,1995,195.58,230,"January 9, 1971",Auburn University
williaa01,Aaron Williams,1994,2008,205.74,220,"October 2, 1971",Xavier University
naderab01,Abdel Nader,2018,2019,198.12,225,"September 25, 1993","Northern Illinois University, Iowa State University"
earlac01,Acie Earl,1994,1997,208.28,240,"June 23, 1970",University of Iowa
lawac01,Acie Law,2008,2011,190.5,195,"January 25, 1985",Texas A&M University
harriad01,Adam Harrington,2003,2003,195.58,200,"July 5, 1980","North Carolina State University, Auburn University"
keefead01,Adam Keefe,1993,2001,205.74,230,"February 22, 1970",Stanford University
morriad01,Adam Morrison,2007,2010,203.2,205,"July 19, 1984",Gonzaga University
