ID,Player,Years,From,To,Ht(cm),Wt(kg),Birth Date,Colleges,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player,Rookie,All 1st,All 2nd,All 3rd,All Tot,All-Star,D Tot,D 1st,D 2nd,Total Awards,Years.1,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
greenac01,A.C. Green,16.0,1986.0,2001.0,205.74,220.0,"October 4, 1963",Oregon State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,16.0,PF,1431,941.0,28.421,3.4930000000000003,7.1,49.19718309859154,0.095,0.375,25.333333333333336,3.398,6.725,50.5278810408922,49.86619718309859,2.454,3.342,73.42908438061042,2.616,4.761,7.3770000000000024,1.069,0.792,0.414,1.104,1.94,9.536,11.65
brookaa01,Aaron Brooks,10.0,2008.0,2018.0,182.88,161.0,"January 14, 1985",University of Oregon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,PG,685,196.0,20.645,3.48,8.429,41.28603630323881,1.251,3.4010000000000002,36.78329902969715,2.229,5.0280000000000005,44.331742243436786,48.70684541463993,1.416,1.702,83.19623971797884,0.385,1.2890000000000001,1.6740000000000002,2.912,0.537,0.134,1.53,1.8630000000000002,9.628,6.257999999999999
mckieaa01,Aaron McKie,13.0,1995.0,2007.0,195.58,209.0,"October 2, 1972",Temple University,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,SG,868,313.0,24.533,2.9189999999999996,6.672999999999999,43.743443728457954,0.51,1.442,35.367545076282944,2.4090000000000003,5.23,46.06118546845124,47.56481342724412,1.2329999999999999,1.578,78.13688212927758,0.607,2.688,3.295,2.722,1.1440000000000001,0.20199999999999999,1.3359999999999999,2.05,7.5820000000000025,7.46
horfoal01,Al Horford,12.0,2008.0,2019.0,208.28,245.0,"June 3, 1986",University of Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,7.0,12.0,C,897,892.0,33.037,5.915,11.300999999999998,52.340500840633574,0.469,1.258,37.28139904610492,5.4460000000000015,10.043,54.226824653987855,54.41553844792496,1.7690000000000001,2.336,75.72773972602741,2.135,6.2170000000000005,8.352,3.264,0.81,1.207,1.609,2.319,14.069,17.824
hendeal01,Alan Henderson,12.0,1996.0,2007.0,205.74,235.0,"December 2, 1972",Indiana University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,PF,688,224.0,20.773000000000003,2.9739999999999998,6.312,47.11660329531053,0.006999999999999999,0.039,17.94871794871795,2.967,6.273,47.29794356767098,47.172053231939145,1.7109999999999999,2.6660000000000004,64.17854463615905,2.145,2.7239999999999998,4.869,0.593,0.539,0.446,1.077,2.198,7.666,6.545
houstal01,Allan Houston,12.0,1994.0,2005.0,198.12,200.0,"April 20, 1971",University of Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,SG,902,790.0,34.186,6.399,14.398,44.44367273232393,1.531,3.8,40.28947368421053,4.868,10.597999999999999,45.93319494244197,49.76038338658146,3.1489999999999996,3.639,86.53476229733444,0.41200000000000003,2.49,2.9019999999999997,2.36,0.675,0.165,2.1319999999999997,2.4530000000000003,17.477999999999998,10.507
iversal01,Allen Iverson,14.0,1997.0,2010.0,182.88,165.0,"June 7, 1975",Georgetown University,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,11.0,0.0,0.0,0.0,22.0,14.0,SG,985,972.0,41.408,9.362,22.12,42.3236889692586,1.2,3.8160000000000003,31.446540880503143,8.162,18.304000000000002,44.59134615384616,45.03616636528029,6.9570000000000025,8.927999999999997,77.92338709677419,0.816,2.907,3.7230000000000003,6.141,2.162,0.18100000000000002,3.536,1.963,26.881999999999998,18.862000000000002
mournal01,Alonzo Mourning,15.0,1993.0,2008.0,208.28,240.0,"February 8, 1970",Georgetown University,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,7.0,2.0,2.0,0.0,13.0,15.0,C,933,743.0,30.624000000000002,5.956,11.32,52.61484098939929,0.031,0.11599999999999999,26.72413793103448,5.925,11.205,52.87817938420349,52.751766784452286,4.779,6.9460000000000015,68.8021883098186,2.533,5.83,8.362,1.101,0.4920000000000001,2.7560000000000002,2.61,3.365,16.722,15.925999999999998
roberal01,Alvin Robertson,10.0,1985.0,1996.0,190.5,185.0,"July 22, 1962",University of Arkansas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,2.0,4.0,13.0,10.0,SG,792,693.0,31.766,5.699,11.923,47.798372892728345,0.306,1.032,29.65116279069767,5.394,10.890999999999998,49.527132494720405,49.08160697810954,2.366,3.182,74.35575109993715,2.081,3.14,5.221,5.063,2.7119999999999997,0.41,2.721,3.398,14.071,14.319
drumman01,Andre Drummond,7.0,2013.0,2019.0,210.82,279.0,"August 10, 1993",University of Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,C,546,496.0,30.846,5.9910000000000005,11.044,54.246649764578045,0.018000000000000002,0.126,14.285714285714285,5.973,10.918,54.707821945411254,54.328141977544355,2.154,4.824,44.651741293532346,4.7989999999999995,8.863999999999997,13.663,1.147,1.3319999999999999,1.5590000000000002,1.7819999999999998,3.139,14.154000000000002,19.209
