ID,Player,Years,From,To,Ht(cm),Wt(kg),Birth Date,Colleges,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player,Rookie,All 1st,All 2nd,All 3rd,All Tot,All-Star,D Tot,D 1st,D 2nd,Total Awards,Years.1,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR,Group
greenac01,A.C. Green,16.0,1986.0,2001.0,205.74,220.0,"October 4, 1963",Oregon State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,16.0,PF,1431,941.0,28.421,3.4930000000000003,7.1,49.19718309859154,0.095,0.375,25.333333333333336,3.398,6.725,50.5278810408922,49.86619718309859,2.454,3.342,73.42908438061042,2.616,4.761,7.3770000000000024,1.069,0.792,0.414,1.104,1.94,9.536,11.65,2
bramlaj01,A.J. Bramlett,1.0,2000.0,2000.0,208.28,227.0,"January 10, 1977",University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,8,0.0,7.625,0.5,2.625,19.047619047619047,0.0,0.0,0.0,0.5,2.625,19.047619047619047,19.047619047619047,0.0,0.0,0.0,1.5,1.25,2.75,0.0,0.125,0.0,0.375,1.625,1.0,-0.25,0
engliaj01,A.J. English,2.0,1991.0,1992.0,190.5,175.0,"July 11, 1967",Virginia Union University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,SG,151,18.0,20.583000000000002,4.086,9.391,43.50974337131297,0.06,0.43,13.953488372093025,4.026,8.96,44.93303571428571,43.829198168459165,1.715,2.205,77.7777777777778,0.927,1.159,2.086,2.119,0.377,0.159,1.344,1.901,9.947000000000001,5.649,1
guytoaj01,A.J. Guyton,3.0,2001.0,2003.0,185.42,180.0,"February 12, 1978",Indiana University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,PG,80,14.0,15.575,2.075,5.5,37.727272727272734,0.912,2.412,37.81094527363185,1.162,3.088,37.629533678756474,46.01818181818182,0.462,0.562,82.20640569395017,0.275,0.725,1.0,1.838,0.25,0.15,0.775,0.725,5.525,3.738,0
hammoaj01,A.J. Hammons,1.0,2017.0,2017.0,213.36,260.0,"August 27, 1992",Purdue University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,22,0.0,7.409,0.773,1.909,40.49240440020953,0.22699999999999998,0.455,49.89010989010989,0.545,1.455,37.45704467353952,46.437925615505506,0.409,0.909,44.99449944994499,0.364,1.273,1.636,0.182,0.045,0.591,0.455,0.955,2.182,1.591,0
priceaj01,A.J. Price,6.0,2010.0,2015.0,187.96,181.0,"October 7, 1986",University of Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,PG,270,25.0,14.874,2.085,5.485,38.012762078395625,0.833,2.615,31.85468451242829,1.252,2.87,43.623693379790936,45.606198723792154,0.8,1.07,74.76635514018692,0.263,1.167,1.43,2.126,0.474,0.033,0.8740000000000001,0.8959999999999999,5.803999999999999,4.426,1
wyndeaj01,A.J. Wynder,1.0,1991.0,1991.0,187.96,180.0,"September 11, 1964","University of Massachusetts Amherst, Fairfield University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PG,6,0.0,6.5,0.5,2.0,25.0,0.0,0.16699999999999998,0.0,0.5,1.8330000000000002,27.277686852154932,25.0,1.0,1.3330000000000002,75.01875468867217,0.16699999999999998,0.33299999999999996,0.5,1.3330000000000002,0.16699999999999998,0.0,0.667,0.16699999999999998,2.0,1.3330000000000002,0
brookaa01,Aaron Brooks,10.0,2008.0,2018.0,182.88,161.0,"January 14, 1985",University of Oregon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,PG,685,196.0,20.645,3.48,8.429,41.28603630323881,1.251,3.4010000000000002,36.78329902969715,2.229,5.0280000000000005,44.331742243436786,48.70684541463993,1.416,1.702,83.19623971797884,0.385,1.2890000000000001,1.6740000000000002,2.912,0.537,0.134,1.53,1.8630000000000002,9.628,6.257999999999999,1
gordoaa01,Aaron Gordon,5.0,2015.0,2019.0,205.74,220.0,"September 16, 1995",University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,PF,341,252.0,27.859,4.707,10.449000000000002,45.0473729543497,1.079,3.361,32.103540612912816,3.628,7.087999999999999,51.18510158013544,50.21054646377644,1.9680000000000002,2.783,70.71505569529285,1.56,4.633,6.194,2.158,0.765,0.639,1.355,2.026,12.46,12.279000000000002,2
grayaa01,Aaron Gray,7.0,2008.0,2014.0,213.36,270.0,"December 7, 1984",University of Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,C,326,87.0,12.107000000000001,1.3769999999999998,2.696,51.075667655786354,0.0,0.009000000000000001,0.0,1.3769999999999998,2.687,51.24674358020097,51.075667655786354,0.58,1.04,55.76923076923076,1.331,2.387,3.718,0.6409999999999999,0.294,0.273,0.831,2.12,3.3339999999999996,3.531,1
