College,Total Players,Total Prized Players,Year/PLR,Total Awards,ScaledRating,College Grade
University of North Carolina,55,8,7.672727272727273,84.0,2.68,101.552
"University of California, Los Angeles",61,8,6.262295081967213,50.0,1.44,85.616
University of Kentucky,66,10,5.348484848484849,49.0,1.05,79.0
Duke University,59,7,5.898305084745763,35.0,1.16,76.096
Georgetown University,30,6,7.4,81.0,3.07,59.136
University of Kansas,49,5,5.387755102040816,26.0,1.22,57.68
University of Arizona,42,5,6.166666666666667,16.0,0.68,54.52
University of Connecticut,32,8,7.40625,30.0,0.85,52.84
University of Michigan,35,6,6.485714285714286,24.0,0.89,49.672
Georgia Institute of Technology,32,4,6.5625,25.0,1.57,47.023999999999994
Wake Forest University,20,5,7.75,81.0,3.62,45.48
Michigan State University,33,6,6.242424242424242,20.0,0.65,44.32
Syracuse University,34,4,5.647058823529412,22.0,1.31,42.592
Louisiana State University,31,3,5.451612903225806,41.0,3.43,42.032
University of Texas at Austin,25,3,6.24,37.0,3.22,38.928000000000004
University of Florida,24,5,7.166666666666667,21.0,0.89,37.96
Indiana University,30,4,5.466666666666667,25.0,1.48,37.536
University of Alabama,23,5,7.217391304347826,13.0,0.54,35.36
University of Notre Dame,29,3,5.793103448275862,7.0,0.52,34.848
University of Maryland,29,2,5.551724137931035,12.0,1.17,34.071999999999996
University of Arkansas,23,4,6.304347826086956,24.0,1.14,32.648
University of Memphis,26,3,5.653846153846154,14.0,1.16,32.184
University of California,19,4,6.526315789473684,38.0,1.98,31.136
University of Louisville,36,2,4.277777777777778,3.0,0.16,31.055999999999997
Marquette University,20,3,5.9,37.0,2.83,30.392
"University of Nevada, Las Vegas",21,2,6.380952380952381,10.0,1.21,28.736
Ohio State University,22,3,6.363636363636363,4.0,0.29,28.695999999999998
Villanova University,27,1,5.074074074074074,6.0,1.48,28.584
DePaul University,16,4,8.125,10.0,0.56,27.791999999999998
University of Minnesota,20,2,6.3,18.0,1.62,27.791999999999998
St. John's University,19,4,6.368421052631579,19.0,1.03,27.496
North Carolina State University,27,2,5.0,3.0,0.24,27.384
University of Illinois at Urbana-Champaign,20,3,6.4,8.0,0.55,26.92
University of Washington,22,4,5.409090909090909,16.0,0.9,26.68
University of Houston,13,2,6.076923076923077,53.0,6.4,26.04
Arizona State University,14,3,7.285714285714286,20.0,1.62,24.288
Oregon State University,16,3,5.8125,31.0,2.19,23.855999999999998
Stanford University,19,1,6.2105263157894735,1.0,0.24,23.791999999999998
Clemson University,15,3,7.066666666666666,12.0,0.68,22.831999999999997
Purdue University,23,3,4.608695652173913,5.0,0.4,22.16
University of Virginia,19,2,5.368421052631579,7.0,0.76,21.616
University of Utah,14,3,6.857142857142857,9.0,0.68,20.831999999999997
Auburn University,13,2,6.076923076923077,24.0,3.13,20.808000000000003
University of Iowa,20,1,5.15,1.0,0.24,20.791999999999998
University of Southern California,16,2,5.875,7.0,0.88,20.208
Temple University,17,2,5.588235294117647,8.0,0.75,20.2
Providence College,17,1,5.764705882352941,1.0,0.24,19.792
Florida State University,24,1,3.875,2.0,0.52,19.016
Xavier University,14,2,6.571428571428571,3.0,0.36,18.976
University of Georgia,14,1,5.5,16.0,4.12,18.695999999999998
Boston College,14,2,6.5,3.0,0.28,18.648
Louisiana Tech University,5,3,10.6,42.0,3.33,18.592
University of Cincinnati,16,1,5.625,1.0,0.24,18.192
Kansas State University,12,2,6.25,16.0,1.97,18.152
"California State University, Fresno",13,1,5.923076923076923,16.0,3.4,18.12
Gonzaga University,14,1,4.571428571428571,26.0,6.08,17.664
University of Missouri,16,0,5.4375,0.0,0.0,17.4
Iowa State University,18,1,4.333333333333333,1.0,0.24,15.792
University of Tennessee,17,2,4.352941176470588,5.0,0.54,15.664000000000001
