ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
abdulka01,1980,Kareem Abdul-Jabbar,C,32,LAL,15,,618,198,346,.572,0,0,,198,346,.572,.572,83,105,.790,51,130,181,46,17,58,55,51,479
adamsal01,1980,Alvan Adams,C,25,PHO,8,,251,56,99,.566,0,0,,56,99,.566,.566,17,19,.895,18,59,77,46,7,10,24,24,129
architi01,1980,Tiny Archibald,PG,31,BOS,9,,332,45,89,.506,1,2,.500,44,87,.506,.511,37,42,.881,3,8,11,71,10,0,38,28,128
baileja01,1980,James Bailey,PF,22,SEA,12,,138,21,44,.477,0,0,,21,44,.477,.477,13,20,.650,8,17,25,5,9,9,9,22,55
ballagr01,1980,Greg Ballard,SF,25,WSB,2,,73,9,28,.321,0,0,,9,28,.321,.321,4,7,.571,2,12,14,7,1,1,8,8,22
barryri01,1980,Rick Barry,SF,35,HOU,6,,79,12,33,.364,3,12,.250,9,21,.429,.409,6,6,1.000,0,6,6,15,1,1,10,11,33
basseti01,1980,Tim Bassett,PF,28,SAS,3,,19,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,0,0,0,1,7,2
batesbi01,1980,Billy Ray Bates,SG,23,POR,3,,104,31,59,.525,2,7,.286,29,52,.558,.542,11,14,.786,2,8,10,12,5,1,15,13,75
behagro01,1980,Ron Behagen,PF,29,WSB,2,,14,2,7,.286,0,0,,2,7,.286,.286,0,0,,1,1,2,3,0,0,1,4,4
bibbyhe01,1980,Henry Bibby,PG,30,PHI,18,,400,45,124,.363,5,13,.385,40,111,.360,.383,40,50,.800,15,29,44,52,7,0,27,35,135
birdla01,1980,Larry Bird,PF,23,BOS,9,,372,83,177,.469,4,15,.267,79,162,.488,.480,22,25,.880,22,79,101,42,14,8,33,30,192
birdsot01,1980,Otis Birdsong,SG,24,KCK,3,,112,30,62,.484,0,3,.000,30,59,.508,.484,6,14,.429,11,12,23,7,4,0,6,5,66
bradlal01,1980,Alonzo Bradley,SF,26,HOU,4,,15,6,9,.667,1,1,1.000,5,8,.625,.722,3,5,.600,1,2,3,1,1,0,0,2,16
bratzmi01,1980,Mike Bratz,PG,24,PHO,8,,169,43,84,.512,9,23,.391,34,61,.557,.565,9,10,.900,6,14,20,16,9,0,13,20,104
breweji01,1980,Jim Brewer,PF,28,POR,3,,67,10,10,1.000,0,0,,10,10,1.000,1.000,1,3,.333,6,10,16,3,5,2,1,6,21
brewero01,1980,Ron Brewer,SG,24,POR,3,,106,26,61,.426,0,3,.000,26,58,.448,.426,5,9,.556,1,2,3,6,3,1,7,10,57
bridgju01,1980,Junior Bridgeman,SF,26,MIL,5,,124,20,56,.357,0,1,.000,20,55,.364,.357,11,15,.733,4,15,19,17,5,2,14,17,51
brownfr01,1980,Fred Brown,SG,31,SEA,15,,313,80,182,.440,10,34,.294,70,148,.473,.467,18,21,.857,16,22,38,32,2,1,23,23,188
brownjo01,1980,John Brown,SF,28,ATL,5,,58,4,13,.308,0,1,.000,4,12,.333,.308,2,2,1.000,2,8,10,1,1,1,5,9,10
bucknqu01,1980,Quinn Buckner,PG,25,MIL,7,,165,18,53,.340,0,1,.000,18,52,.346,.340,7,11,.636,6,10,16,31,15,0,13,20,43
busedo01,1980,Don Buse,PG,29,PHO,8,,236,28,64,.438,5,13,.385,23,51,.451,.477,7,11,.636,8,13,21,44,6,0,13,15,68
byrnema01,1980,Marty Byrnes,SF,23,LAL,4,,8,1,3,.333,0,0,,1,3,.333,.333,4,6,.667,1,0,1,1,0,0,1,0,6
carrml01,1980,M.L. Carr,SF,29,BOS,9,,172,32,80,.400,2,5,.400,30,75,.400,.413,16,24,.667,14,19,33,11,6,1,7,20,82
catchha01,1980,Harvey Catchings,C,28,MIL,6,,64,2,6,.333,0,0,,2,6,.333,.333,2,4,.500,5,16,21,2,0,8,2,13,6
cheekma01,1980,Maurice Cheeks,PG,23,PHI,18,,675,89,174,.511,1,5,.200,88,169,.521,.514,29,41,.707,22,52,74,111,45,4,45,43,208
choneji01,1980,Jim Chones,C,30,LAL,16,,439,48,118,.407,0,0,,48,118,.407,.407,23,34,.676,32,72,104,28,8,6,32,60,119
cleamji01,1980,Jim Cleamons,PG,30,WSB,2,,20,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,1,1,0,1,0,0
cookje01,1980,Jeff Cook,PF,23,PHO,7,,98,16,24,.667,0,0,,16,24,.667,.667,22,26,.846,5,16,21,7,4,2,5,10,54
coopemi01,1980,Michael Cooper,SG,23,LAL,16,,464,57,140,.407,0,2,.000,57,138,.413,.407,31,36,.861,28,31,59,58,24,11,29,54,145
