ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
abdulka01,1980,Kareem Abdul-Jabbar,C,32,LAL,15,,618,198,346,0.5720000000000001,0,0,,198,346,0.5720000000000001,0.5720000000000001,83,105,0.79,51,130,181,46,17,58,55,51,479,505
adamsal01,1980,Alvan Adams,C,25,PHO,8,,251,56,99,0.5660000000000001,0,0,,56,99,0.5660000000000001,0.5660000000000001,17,19,0.895,18,59,77,46,7,10,24,24,129,176
architi01,1980,Tiny Archibald,PG,31,BOS,9,,332,45,89,0.506,1,2,0.5,44,87,0.506,0.511,37,42,0.8809999999999999,3,8,11,71,10,0,38,28,128,105
baileja01,1980,James Bailey,PF,22,SEA,12,,138,21,44,0.47700000000000004,0,0,,21,44,0.47700000000000004,0.47700000000000004,13,20,0.65,8,17,25,5,9,9,9,22,55,42
ballagr01,1980,Greg Ballard,SF,25,WSB,2,,73,9,28,0.321,0,0,,9,28,0.321,0.321,4,7,0.5710000000000001,2,12,14,7,1,1,8,8,22,7
barryri01,1980,Rick Barry,SF,35,HOU,6,,79,12,33,0.364,3,12,0.25,9,21,0.429,0.409,6,6,1.0,0,6,6,15,1,1,10,11,33,14
basseti01,1980,Tim Bassett,PF,28,SAS,3,,19,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,0,1,7,2,-6
batesbi01,1980,Billy Ray Bates,SG,23,POR,3,,104,31,59,0.525,2,7,0.28600000000000003,29,52,0.5579999999999999,0.542,11,14,0.7859999999999999,2,8,10,12,5,1,15,13,75,44
behagro01,1980,Ron Behagen,PF,29,WSB,2,,14,2,7,0.28600000000000003,0,0,,2,7,0.28600000000000003,0.28600000000000003,0,0,,1,1,2,3,0,0,1,4,4,-1
bibbyhe01,1980,Henry Bibby,PG,30,PHI,18,,400,45,124,0.363,5,13,0.385,40,111,0.36,0.38299999999999995,40,50,0.8,15,29,44,52,7,0,27,35,135,87
birdla01,1980,Larry Bird,PF,23,BOS,9,,372,83,177,0.469,4,15,0.267,79,162,0.488,0.48,22,25,0.88,22,79,101,42,14,8,33,30,192,197
birdsot01,1980,Otis Birdsong,SG,24,KCK,3,,112,30,62,0.484,0,3,0.0,30,59,0.508,0.484,6,14,0.429,11,12,23,7,4,0,6,5,66,49
bradlal01,1980,Alonzo Bradley,SF,26,HOU,4,,15,6,9,0.667,1,1,1.0,5,8,0.625,0.722,3,5,0.6,1,2,3,1,1,0,0,2,16,14
bratzmi01,1980,Mike Bratz,PG,24,PHO,8,,169,43,84,0.512,9,23,0.391,34,61,0.557,0.565,9,10,0.9,6,14,20,16,9,0,13,20,104,74
breweji01,1980,Jim Brewer,PF,28,POR,3,,67,10,10,1.0,0,0,,10,10,1.0,1.0,1,3,0.33299999999999996,6,10,16,3,5,2,1,6,21,38
brewero01,1980,Ron Brewer,SG,24,POR,3,,106,26,61,0.426,0,3,0.0,26,58,0.44799999999999995,0.426,5,9,0.556,1,2,3,6,3,1,7,10,57,14
bridgju01,1980,Junior Bridgeman,SF,26,MIL,5,,124,20,56,0.35700000000000004,0,1,0.0,20,55,0.364,0.35700000000000004,11,15,0.733,4,15,19,17,5,2,14,17,51,23
brownfr01,1980,Fred Brown,SG,31,SEA,15,,313,80,182,0.44,10,34,0.294,70,148,0.473,0.467,18,21,0.857,16,22,38,32,2,1,23,23,188,110
