Player,Height,Weight,Pos,School/Team,Class,ID,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,PIR,Draft
Zion Williamson,198.12,280,PF,Duke,Fr.,13165.0,1.0,2019.0,2019.0,DUKE,33.0,30.0,8.97,13.182,68.04733727810651,0.727,2.1519999999999997,33.78252788104089,3.9389999999999996,6.152,64.02795838751626,2.364,2.061,3.515,5.364,8.879,2.061,2.121,1.788,22.605999999999998,74.73254759746145,70.80488544985587,26.604999999999997,1
Ja Morant,190.5,175,PG,Murray St.,So.,11133.0,2.0,2018.0,2019.0,MSU,65.0,35.308,6.1229999999999976,12.630999999999998,48.475971815374876,1.2919999999999998,3.7689999999999997,34.27964977447599,5.122999999999998,6.3229999999999995,81.02166693025463,3.8310000000000004,1.723,1.462,4.631,6.0920000000000005,8.185,1.354,0.615,18.662,54.51365380275335,53.59037289209089,21.646,2
R.J. Barrett,200.66,210,SG,Duke,Fr.,20454.0,1.0,2019.0,2019.0,DUKE,38.0,35.289,8.395,18.474,45.4422431525387,1.921,6.237,30.800064133397466,3.9210000000000003,5.895,66.51399491094148,3.237,1.8419999999999999,1.5530000000000002,6.026,7.579,4.316,0.895,0.42100000000000004,22.631999999999998,52.90512380485414,50.64144202663202,18.711000000000002,3
Coby White,195.58,190,PG/SG,North Carolina,Fr.,18446.0,1.0,2019.0,2019.0,UNC,35.0,28.54300000000001,5.371,12.686,42.338010405171055,2.343,6.629,35.34469754110726,2.971,3.714,79.99461497038234,2.657,1.943,0.34299999999999997,3.2,3.543,4.086,1.0859999999999999,0.314,16.057000000000002,49.99174508832756,51.57259971622261,12.427999999999999,4
De'Andre Hunter,200.66,225,SF/PF,Virginia,So.,12828.0,2.0,2018.0,2019.0,UVA,71.0,26.634,4.352,8.549,50.90653877646509,0.9440000000000001,2.254,41.881100266193435,2.775,3.592,77.25501113585744,1.169,1.915,1.268,3.0989999999999998,4.3660000000000005,1.5630000000000002,0.5770000000000001,0.493,12.423,54.138204924543295,56.42765235700082,11.324000000000002,5
Darius Garland,187.96,175,PG,Vanderbilt,Fr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Rui Hachimura,203.2,235,SF/PF,Gonzaga,Jr.,17696.0,2.0,2018.0,2019.0,GU,74.0,25.445999999999998,5.877999999999999,10.081,58.30770756869359,0.27,0.838,32.21957040572793,3.635,4.784,75.9824414715719,1.514,1.986,1.338,4.257,5.595,1.068,0.73,0.622,15.635,60.67294168559991,59.646860430512845,14.798000000000002,7
Bruno Fernando,208.28,240,C,Maryland,So.,21205.0,2.0,2018.0,2019.0,UMD,64.0,26.421999999999997,4.547,7.641,59.50791781180472,0.062,0.203,30.54187192118227,2.875,3.766,76.34094530005311,2.312,2.7969999999999997,2.266,6.452999999999999,8.719,1.391,0.516,1.578,12.030999999999999,60.2984673299274,59.913623871221034,15.140999999999995,8
Nassir Little,198.12,225,SF,North Carolina,Fr.,17957.0,1.0,2019.0,2019.0,UNC,36.0,18.194000000000006,3.639,7.6110000000000015,47.812376823019314,0.389,1.444,26.939058171745163,2.1390000000000002,2.778,76.99784017278617,1.3330000000000002,1.639,1.5830000000000002,3.028,4.6110000000000015,0.639,0.528,0.528,9.806000000000001,52.69985406194261,50.36788858231508,8.529,9
Nickeil Alexander-Walker,195.58,205,SG,Virginia Tech,So.,2272.0,2.0,2018.0,2019.0,VT,67.0,29.955,4.687,10.104,46.38756927949329,1.7309999999999999,4.522,38.279522335249894,2.358,3.09,76.31067961165049,2.224,1.896,0.5820000000000001,3.388,3.97,2.7460000000000004,1.3730000000000002,0.537,13.463,52.95592977427447,54.95348376880445,11.820000000000004,10
