Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State University
A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona
A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
A.J. Guyton,2001,2003,G,6-1,180,"February 12, 1978",Indiana University
A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue University
A.J. Price,2010,2015,G,6-2,181,"October 7, 1986",University of Connecticut
A.J. Wynder,1991,1991,G,6-2,180,"September 11, 1964","University of Massachusetts Amherst, Fairfield University"
Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",University of Oregon
Aaron Gordon,2015,2019,F,6-9,220,"September 16, 1995",University of Arizona
Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh
Aaron Harrison,2016,2018,G,6-6,210,"October 28, 1994",University of Kentucky
Aaron Holiday,2019,2019,G,6-1,185,"September 30, 1996","University of California, Los Angeles"
Aaron Jackson,2018,2018,G,6-4,185,"May 6, 1986",Duquesne University
Aaron McKie,1995,2007,G,6-5,209,"October 2, 1972",Temple University
Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",University of Kansas
Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn University
Aaron Williams,1994,2008,F-C,6-9,220,"October 2, 1971",Xavier University
Abdel Nader,2018,2019,F,6-6,225,"September 25, 1993","Northern Illinois University, Iowa State University"
Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",University of Iowa
Acie Law,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M University
Adam Harrington,2003,2003,G,6-5,200,"July 5, 1980","North Carolina State University, Auburn University"
Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford University
Adam Morrison,2007,2010,F,6-8,205,"July 19, 1984",Gonzaga University
Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate University
Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",University of Kansas
Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis
Adreian Payne,2015,2018,F-C,6-10,237,"February 19, 1991",Michigan State University
Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland
Adrian Caldwell,1990,1998,F-C,6-8,265,"July 4, 1966","Southern Methodist University, Lamar University"
Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall University
Al Harrington,1999,2014,F,6-9,230,"February 17, 1980",
Al Horford,2008,2019,C-F,6-10,245,"June 3, 1986",University of Florida
Al Jefferson,2005,2018,C-F,6-10,289,"January 4, 1985",
Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State University
Al Wood,1982,1987,G-F,6-6,193,"June 2, 1958",University of North Carolina
Al-Farouq Aminu,2011,2019,F,6-9,220,"September 21, 1990",Wake Forest University
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University
Alan Hardy,1981,1982,F,6-7,195,"May 25, 1957",University of Michigan
Alan Henderson,1996,2007,F,6-9,235,"December 2, 1972",Indiana University
Alan Ogg,1991,1993,C,7-2,240,"July 5, 1967",University of Alabama at Birmingham
Alan Williams,2016,2019,F-C,6-8,265,"January 28, 1993","University of California, Santa Barbara"
Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin
Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",University of Maryland
Alec Burks,2012,2019,G,6-6,214,"July 20, 1991",University of Colorado
Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",University of Georgia
Alec Peters,2018,2018,F,6-9,232,"April 13, 1995",Valparaiso University
Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",
Aleksandar Radojevic,2000,2005,C,7-3,250,"August 8, 1976",Barton County Community College
Alex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University
Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova University
Alex Caruso,2018,2019,G,6-5,186,"February 28, 1994",Texas A&M University
Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",
Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",University of New Mexico
Alex Len,2014,2019,C,7-1,250,"June 16, 1993",University of Maryland
Alex Poythress,2017,2019,F,6-9,235,"September 6, 1993",University of Kentucky
Alex Scales,2006,2006,G,6-4,185,"July 3, 1978",University of Oregon
Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987","University of North Carolina, University of Southern California"
Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962","Creighton University, University of Colorado"
Alexander Johnson,2007,2008,F,6-9,240,"February 8, 1983",Florida State University
Alexander Volkov,1990,1992,C,6-10,218,"March 28, 1964",
Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",
Alexis Ajinca,2009,2017,C-F,7-2,248,"May 6, 1988",
Alfonzo McKinnie,2018,2019,F,6-8,215,"September 17, 1992",University of Wisconsin-Green Bay
Alfredrick Hughes,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola University of Chicago
Alize Johnson,2019,2019,F,6-9,212,"April 22, 1996",Missouri State
Allan Houston,1994,2005,G,6-6,200,"April 20, 1971",University of Tennessee
Allan Ray,2007,2007,G,6-2,190,"June 17, 1984",Villanova University
Allen Crabbe,2014,2019,G-F,6-6,212,"April 9, 1992",University of California
Allen Iverson*,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University
Allonzo Trier,2019,2019,G,6-5,200,"January 17, 1996",University of Arizona
Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",University of Alabama
Alonzo Mourning*,1993,2008,C,6-10,240,"February 8, 1970",Georgetown University
Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University
Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",University of Houston
Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University
Alvin Heggs,1996,1996,F,6-8,225,"December 12, 1967",University of Texas at Austin
Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Institute of Technology
Alvin Robertson,1985,1996,G,6-3,185,"July 22, 1962",University of Arkansas
Alvin Sims,1999,1999,G,6-4,235,"October 18, 1974",University of Louisville
Alvin Williams,1998,2007,G,6-5,185,"August 6, 1974",Villanova University
Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette University
Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",
Amile Jefferson,2019,2019,F,6-9,222,"May 7, 1993",Duke University
Amir Johnson,2006,2019,F-C,6-9,240,"May 1, 1987",
Anderson Varejao,2005,2017,F-C,6-10,273,"September 28, 1982",
Andrae Patterson,1999,2000,F,6-9,238,"November 12, 1975",Indiana University
Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",
Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University
Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul University
Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke University
Andre Drummond,2013,2019,C,6-11,279,"August 10, 1993",University of Connecticut
Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech University
Andre Iguodala,2005,2019,G-F,6-6,215,"January 28, 1984",University of Arizona
Andre Ingram,2018,2019,G,6-3,190,"November 19, 1985",American University
Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",University of Utah
Andre Moore,1988,1988,F,6-9,215,"July 2, 1964",Loyola University of Chicago
Andre Owens,2006,2008,G,6-4,200,"October 31, 1980","Indiana University, University of Houston"
Andre Roberson,2014,2018,G-F,6-7,210,"December 4, 1991",University of Colorado
Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University
Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",
Andres Guibert,1994,1995,F-C,6-10,225,"October 28, 1968",
Andres Nocioni,2005,2012,F,6-7,225,"November 30, 1979",
Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",University of Utah
Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",
Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",University of Florida
Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall University
Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
Andrew Harrison,2017,2019,G,6-6,213,"October 28, 1994",University of Kentucky
Andrew Lang,1989,2000,C,6-11,245,"June 28, 1966",University of Arkansas
Andrew Nicholson,2013,2017,F,6-9,250,"December 8, 1989",St. Bonaventure University
Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette
Andrew White,2018,2018,G,6-7,210,"June 16, 1993","University of Nebraska, Syracuse University"
Andrew Wiggins,2015,2019,F-G,6-8,194,"February 23, 1995",University of Kansas
