Rk,Player,Tot,1st,2nd,Tot
1,Tim Duncan,15,8,7,15
2,Kobe Bryant,12,9,3,12
3,Kevin Garnett,12,9,3,12
4,Kareem Abdul-Jabbar,11,5,6,11
5,Bobby Jones,11,8,1,9
6,Scottie Pippen,10,8,2,10
7,Dennis Johnson,9,6,3,9
8,Michael Jordan,9,9,0,9
9,Jason Kidd,9,4,5,9
10,Hakeem Olajuwon,9,5,4,9
11,Chris Paul,9,7,2,9
12,Gary Payton,9,9,0,9
13,Bruce Bowen,8,5,3,8
14,Michael Cooper,8,5,3,8
15,John Havlicek,8,5,3,8
16,David Robinson,8,4,4,8
17,Dennis Rodman,8,7,1,8
18,Norm Van Lier,8,3,5,8
19,Walt Frazier,7,7,0,7
20,Tony Allen,6,3,3,6
21,Mookie Blaylock,6,2,4,6
22,Don Buse,6,4,0,4
23,Dave DeBusschere,6,6,0,6
24,LeBron James,6,5,1,6
25,Kevin McHale,6,3,3,6
26,Dikembe Mutombo,6,3,3,6
27,Alvin Robertson,6,2,4,6
28,Jerry Sloan,6,4,2,6
29,Ben Wallace,6,5,1,6
30,Don Chaney,5,0,5,5
31,Maurice Cheeks,5,4,1,5
32,Joe Dumars,5,4,1,5
33,Mark Eaton,5,3,2,5
34,Artis Gilmore,5,0,1,1
35,Dwight Howard,5,4,1,5
36,Sidney Moncrief,5,4,1,5
37,Dan Roundfield,5,3,2,5
38,Paul Silas,5,2,3,5
39,John Stockton,5,0,5,5
40,Nate Thurmond,5,2,3,5
41,Jerry West,5,4,1,5
42,Quinn Buckner,4,0,4,4
43,Jimmy Butler,4,0,4,4
44,Marcus Camby,4,2,2,4
45,Doug Christie,4,1,3,4
46,Horace Grant,4,0,4,4
47,Draymond Green,4,3,1,4
48,Kawhi Leonard,4,3,1,4
49,Karl Malone,4,3,1,4
50,Tayshaun Prince,4,0,4,4
51,Rajon Rondo,4,2,2,4
52,Buck Williams,4,2,2,4
53,Metta World Peace,4,2,2,4
54,Larry Bird,3,0,3,3
55,P.J. Brown,3,0,3,3
56,Tyson Chandler,3,1,2,3
57,Dave Cowens,3,1,2,3
58,Anthony Davis,3,1,2,3
