Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,2.0,2000 - 2001,PF,164,20.37,1.93,4.34,44.47004608294931,0.01,0.06,16.666666666666668,1.93,4.27,45.199063231850126,44.585253456221196,0.88,1.26,69.84126984126983,1.63,3.24,4.87,0.73,0.51,0.16,0.6,1.5,4.76
A.J. Bramlett,1.0,2000 - 2000,C,8,7.62,0.5,2.62,19.083969465648853,0.0,0.0,,0.5,2.62,19.083969465648853,19.083969465648853,0.0,0.0,,1.5,1.25,2.75,0.0,0.12,0.0,0.38,1.62,1.0
A.J. Guyton,3.0,2001 - 2003,PG,80,15.58,2.08,5.5,37.81818181818182,0.91,2.41,37.75933609958506,1.16,3.09,37.54045307443366,46.09090909090909,0.46,0.56,82.14285714285714,0.28,0.72,1.0,1.84,0.25,0.15,0.78,0.72,5.52
A.J. Hammons,1.0,2017 - 2017,C,22,7.41,0.77,1.91,40.31413612565446,0.23,0.45,51.11111111111111,0.55,1.45,37.931034482758626,46.33507853403142,0.41,0.91,45.05494505494505,0.36,1.27,1.64,0.18,0.05,0.59,0.45,0.95,2.18
A.J. Price,6.0,2010 - 2015,PG,261,15.05,2.1,5.53,37.9746835443038,0.84,2.64,31.818181818181817,1.27,2.89,43.94463667820069,45.56962025316456,0.79,1.07,73.83177570093457,0.26,1.18,1.44,2.17,0.48,0.03,0.88,0.91,5.84
Aaron Brooks,10.0,2008 - 2018,PG,645,20.84,3.51,8.49,41.34275618374558,1.27,3.44,36.91860465116279,2.23,5.05,44.15841584158416,48.82214369846878,1.42,1.7,83.52941176470588,0.39,1.28,1.67,2.98,0.56,0.13,1.55,1.89,9.7
Aaron Gordon,5.0,2015 - 2019,PF,341,27.86,4.71,10.45,45.07177033492823,1.08,3.36,32.142857142857146,3.63,7.09,51.198871650211565,50.23923444976077,1.97,2.78,70.86330935251799,1.56,4.63,6.19,2.16,0.77,0.64,1.35,2.03,12.46
Aaron Gray,7.0,2008 - 2014,C,318,12.11,1.38,2.72,50.73529411764706,0.0,0.01,0.0,1.38,2.71,50.92250922509225,50.73529411764706,0.58,1.04,55.76923076923076,1.36,2.39,3.74,0.65,0.3,0.27,0.83,2.13,3.35
Aaron Harrison,3.0,2016 - 2018,SG,35,9.8,0.69,2.63,26.235741444866918,0.34,1.57,21.656050955414013,0.34,1.06,32.075471698113205,32.69961977186312,0.54,0.89,60.67415730337079,0.23,0.97,1.2,0.46,0.43,0.06,0.2,1.11,2.26
Aaron Holiday,1.0,2019 - 2019,PG,50,12.92,2.1,5.24,40.0763358778626,0.86,2.54,33.85826771653544,1.24,2.7,45.92592592592592,48.28244274809161,0.82,1.0,82.0,0.1,1.24,1.34,1.74,0.42,0.26,0.8,1.42,5.88
Aaron Jackson,1.0,2018 - 2018,PG,1,35.0,3.0,9.0,33.33333333333333,1.0,4.0,25.0,2.0,5.0,40.0,38.88888888888889,1.0,2.0,50.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0
Aaron McKie,8.0,2000 - 2007,SG,453,25.77,3.15,7.09,44.42877291960507,0.62,1.69,36.68639053254438,2.53,5.4,46.85185185185185,48.801128349788435,1.26,1.6,78.75,0.52,2.93,3.45,3.08,1.2,0.2,1.46,1.99,8.19
Aaron Miles,1.0,2006 - 2006,PG,19,6.21,0.32,0.95,33.684210526315795,0.0,0.0,,0.32,0.95,33.684210526315795,33.684210526315795,0.21,0.21,100.0,0.0,0.74,0.74,1.26,0.21,0.05,0.58,0.68,0.84
Aaron Williams,9.0,2000 - 2008,C,556,18.23,2.36,4.8,49.166666666666664,0.0,0.02,0.0,2.35,4.78,49.163179916317986,49.166666666666664,1.46,1.97,74.11167512690355,1.52,2.71,4.23,0.78,0.42,0.79,0.98,2.64,6.18
Abdel Nader,2.0,2018 - 2019,SF,109,11.16,1.29,3.34,38.62275449101797,0.5,1.51,33.11258278145696,0.79,1.83,43.169398907103826,46.10778443113773,0.46,0.69,66.66666666666667,0.25,1.47,1.72,0.42,0.32,0.2,0.55,1.04,3.55
Acie Law,4.0,2008 - 2011,PG,188,12.69,1.4,3.39,41.29793510324483,0.14,0.61,22.95081967213115,1.26,2.78,45.32374100719424,43.36283185840708,0.91,1.18,77.11864406779661,0.18,0.86,1.04,1.64,0.44,0.02,0.77,1.03,3.86
Adam Harrington,1.0,2003 - 2003,SG,19,5.84,0.58,1.95,29.743589743589745,0.26,0.74,35.13513513513514,0.32,1.21,26.446280991735538,36.41025641025641,0.16,0.21,76.1904761904762,0.05,0.37,0.42,0.63,0.11,0.05,0.11,0.42,1.58
Adam Keefe,2.0,2000 - 2001,C,129,11.16,0.91,2.24,40.625,0.01,0.03,33.333333333333336,0.9,2.21,40.723981900452486,40.848214285714285,0.53,0.77,68.83116883116884,1.05,1.63,2.67,0.54,0.35,0.26,0.67,1.49,2.35
Adam Morrison,3.0,2007 - 2010,SF,161,20.36,2.9,7.78,37.27506426735218,0.77,2.33,33.047210300429185,2.13,5.45,39.08256880733945,42.22365038560411,0.88,1.24,70.96774193548387,0.51,1.61,2.12,1.38,0.25,0.07,1.07,1.7,7.45
Adonal Foyle,10.0,2000 - 2009,C,634,18.6,1.89,3.9,48.46153846153846,0.0,0.0,,1.89,3.9,48.46153846153846,48.46153846153846,0.47,0.94,50.0,1.81,3.05,4.86,0.49,0.37,1.73,0.81,2.19,4.25
