Season,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player
2018,James Harden,Kevin Durant,Kevin Durant,Victor Oladipo,Lou Williams,Rudy Gobert
2017,Russell Westbrook,Kevin Durant,LeBron James,Giannis Antetokounmpo,Eric Gordon,Draymond Green
2016,Stephen Curry,LeBron James,Anthony Davis,CJ McCollum,Jamal Crawford,Kawhi Leonard
2015,Stephen Curry,Andre Iguodala,Russell Westbrook,Jimmy Butler,Lou Williams,Kawhi Leonard
2014,Kevin Durant,Kawhi Leonard,Russell Westbrook,Goran Dragic,Jamal Crawford,Joakim Noah
2013,LeBron James,LeBron James,Kyrie Irving,Paul George,J.R. Smith,Marc Gasol
2012,LeBron James,LeBron James,Chris Paul,Ryan Anderson,James Harden,Tyson Chandler
2011,Derrick Rose,Dirk Nowitzki,Kevin Durant,Kevin Love,Lamar Odom,Dwight Howard
2010,LeBron James,Kobe Bryant,Kobe Bryant,Aaron Brooks,Jamal Crawford,Dwight Howard
2009,LeBron James,Kobe Bryant,Dwyane Wade,Danny Granger,Jason Terry,Dwight Howard
2008,Kobe Bryant,Paul Pierce,Shaquille O'Neal ,Hedo Turkoglu,Manu Ginobili,Kevin Garnett
2007,Dirk Nowitzki,Tony Parker,Kobe Bryant ,Monta Ellis,Leandro Barbosa,Marcus Camby
2006,Steve Nash,Dwyane Wade,LeBron James,Boris Diaw,Mike Miller,Ben Wallace
2005,Steve Nash,Tim Duncan,Kobe Bryant,Bobby Simmons,Ben Gordon,Ben Wallace
2004,Kevin Garnett,Chauncey Billups,LeBron James,Zach Randolph,Antawn Jamison,Metta World Peace
2003,Tim Duncan,Tim Duncan,Allen Iverson,Gilbert Arenas,Bobby Jackson,Ben Wallace
2002,Tim Duncan,Shaquille O'Neal,Shaquille O'Neal,Jermaine O'Neal,Corliss Williamson,Ben Wallace
2001,Allen Iverson,Shaquille O'Neal,Kevin Garnett,Tracy McGrady,Aaron McKie,Dikembe Mutombo
2000,Shaquille O'Neal,Shaquille O'Neal,Kobe Bryant,Jalen Rose,Rodney Rogers,Alonzo Mourning
1999,Karl Malone,Tim Duncan,Allen Iverson,Darrell Armstrong,Darrell Armstrong,Alonzo Mourning
1998,Michael Jordan,Michael Jordan,Shaquille O'Neal ,Alan Henderson,Danny Manning,Dikembe Mutombo
1997,Karl Malone,Michael Jordan,Tim Duncan ,Isaac Austin,John Starks,Dikembe Mutombo
1996,Michael Jordan,Michael Jordan,Michael Jordan,Gheorghe Muresan,Toni Kukoc,Gary Payton
1995,David Robinson,Hakeem Olajuwon,Glen Rice,Dana Barros,Anthony Mason,Dikembe Mutombo
1994,Hakeem Olajuwon,Hakeem Olajuwon,Michael Jordan,Don MacLean,Dell Curry,Hakeem Olajuwon
1993,Charles Barkley,Michael Jordan,Mitch Richmond,Mahmoud Abdul-Rauf,Clifford Robinson,Hakeem Olajuwon
1992,Michael Jordan,Michael Jordan,Scottie Pippen,Pervis Ellison,Detlef Schrempf,David Robinson
1991,Michael Jordan,Michael Jordan,John Stockton ,Scott Skiles,Detlef Schrempf,Dennis Rodman
1990,Magic Johnson,Isiah Thomas,Karl Malone ,Rony Seikaly,Ricky Pierce,Dennis Rodman
1989,Magic Johnson,Joe Dumars,Magic Johnson,Kevin Johnson,Eddie Johnson,Mark Eaton
1988,Michael Jordan,James Worthy,Charles Barkley,Kevin Duckworth,Roy Tarpley,Michael Jordan
1987,Magic Johnson,Magic Johnson,Magic Johnson,Dale Ellis,Ricky Pierce,Michael Cooper
1986,Larry Bird,Larry Bird,Karl Malone,Alvin Robertson,Bill Walton,Alvin Robertson
1985,Larry Bird,Kareem Abdul-Jabbar,Michael Jordan,None,Kevin McHale,Mark Eaton
1984,Larry Bird,Larry Bird,Tom Chambers,None,Kevin McHale,Sidney Moncrief
1983,Moses Malone,Moses Malone,Isiah Thomas,None,Bobby Jones,None
1982,Moses Malone,Magic Johnson,Ralph Sampson,None,None,None
1981,Julius Erving,None,Isiah Thomas,None,None,None
